TASE	KONTO NR	VALUUTA	KONTO NIMETUS	TÜÜP	LIIK
5	11021	EEK	Fondiosakud	Detailne	Aktiva
5	11022	EEK	Võlakirjad	Detailne	Aktiva
3	111	EEK	NÕUDED JA ETTEMAKSED	Üld	Aktiva
4	1110	EEK	Muud pikaajalised nõuded	Koond	Aktiva
5	11100	EEK	Laenunõuded	Detailne	Aktiva
5	11101	EEK	Intressinõuded	Detailne	Aktiva
5	11102	EEK	Dividendinõuded	Detailne	Aktiva
5	11103	EEK	Viitlaekumised	Detailne	Aktiva
5	11104	EEK	Muud pikaajalised nõuded	Detailne	Aktiva
4	1111	EEK	Pikaajalised ettemaksed teenuste eest	Koond	Aktiva
5	11110	EEK	PA-d Tulevaste perioodide kulud	Detailne	Aktiva
5	11111	EEK	Muud PA-lt makstud ettemaksed	Detailne	Aktiva
3	112	EEK	KINNISVARAINVESTEERINGUD	Üld	Aktiva
4	1121	EEK	Renditulu teenimise või väärtuse kasvu eesmärgil hoitav maa	Koond	Aktiva
5	11210	EEK	Maa .......... (kinnisvarainvesteering)	Detailne	Aktiva
4	1122	EEK	Renditulu teenimise või väärtuse kasvu eesmärgil hoitavad hooned	Koond	Aktiva
5	11220	EEK	Hoone ........ (kinnisvarainvesteering)	Detailne	Aktiva
3	113	EEK	MATERIAALNE PÕHIVARA	Üld	Aktiva
4	1130	EEK	Materiaalne põhivara	Koond	Aktiva
5	11301	EEK	Maa	Detailne	Aktiva
5	11302	EEK	Hooned ja rajatised	Detailne	Aktiva
6	113021	EEK	Hooned ja rajatised soetusmaksumuses	Detailne	Aktiva
6	113022	EEK	Hoonete ja rajatiste akumuleeritud kulum (-)	Detailne	Aktiva
5	11303	EEK	Masinad ja seadmed	Detailne	Aktiva
6	113031	EEK	Transpordivahendid soetusmaksumuses	Detailne	Aktiva
6	113032	EEK	Transpordivahendite akumuleeritud kulum (-)	Detailne	Aktiva
6	113033	EEK	Arvutid ja arvutisüsteemid soetusmaksumuses	Detailne	Aktiva
6	113034	EEK	Arvutite ja arvutisüsteemide akumuleeritud kulum (-)	Detailne	Aktiva
