#ver@1.12
TASE	KONTO NR	VALUUTA	KONTO NIMETUS	KLASS	TÜÜP	Bilansirida	Bilansigrupp	Kasumiaruande rida	Kasumiaruande grupp
4	3210	EUR	Litsentsitasud	Detailne	Tulud			1.2.11	Muud äritulud
4	3211	EUR	Muu 20% maksustatav käive	Detailne	Tulud			1.2.12	Muud äritulud
4	3212	EUR	Muu käibemaksuvaba käive	Detailne	Tulud			1.2.13	Muud äritulud
4	3213	EUR	Aruandeperioodil selgunud eelmiste aastate tulu	Detailne	Tulud			1.2.14	Muud äritulud
4	3214	EUR	Ümarduste tulu	Detailne	Tulud			1.2.15	Muud äritulud
4	3215	EUR	Muud äritulud	Detailne	Tulud			1.2.16	Muud äritulud
2	33	EUR	VALMIS- JA LÕPETAMATA TOODANGU VARUDE JÄÄKIDE MUUTUS	Üld	Tulud			1.3	VALMIS- JA LÕPETAMATA TOODANGU VARUDE JÄÄKIDE MUUTUS KOKKU
4	3300	EUR	Valmis- ja lõpetamata toodangu varude jääkide muutus	Detailne	Tulud			1.3.1	Valmis- ja lõpetamata toodangu varude jääkide muutus
2	34	EUR	KAPITALISEERITUD VÄLJAMINEKUD OMA TARBEKS PÕHIVARA VALMISTAMISEL	Üld	Tulud			1.4	KAPITALISEERITUD VÄLJAMINEKUD OMA TARBEKS PÕHIVARA VALMISTAMISEL KOKKU
4	3400	EUR	Kapitaliseeritud väljaminekud oma tarbeks põhivara valmistamisel	Detailne	Tulud			1.4.1	Kapitaliseeritud väljaminekud oma tarbeks põhivara valmistamisel
2	35	EUR	FINANTSTULUD	Üld	Tulud			1.5	FINANTSTULUD KOKKU
4	3500	EUR	Finantstulud tütarettevõtjate aktsiatelt ja osadelt 	Detailne	Tulud			1.5.1	Finantstulud
4	3501	EUR	Finantstulud sidusettevõtjate aktsiatelt ja osadelt	Detailne	Tulud			1.5.2	Finantstulud
4	3502	EUR	Kasum võlakirjade ümberhindlusest	Detailne	Tulud			1.5.3	Finantstulud
4	3503	EUR	Kasum fondiosakute ümberhindlusest	Detailne	Tulud			1.5.4	Finantstulud
4	3504	EUR	Kasum aktsiatelt ja osadelt	Detailne	Tulud			1.5.5	Finantstulud
4	3505	EUR	Intressitulud	Detailne	Tulud			1.5.6	Finantstulud
4	3506	EUR	Kasum valuutakursi muutustest	Detailne	Tulud			1.5.7	Finantstulud
4	3507	EUR	Muud finantstulud	Detailne	Tulud			1.5.8	Finantstulud
1	5	EUR	KULUD	Üld	Kulud			3	KULUD KOKKU
2	50	EUR	KAUBAD, TOORE, MATERJAL JA TEENUSED	Üld	Kulud			3.1	KAUBAD, TOORE, MATERJAL JA TEENUSED KOKKU
4	5000	EUR	Tooraine ja materjal	Detailne	Kulud			3.1.1	Kaubad, toore, materjal ja teenused
4	5001	EUR	Varude allahindlus ja mahakandmine	Detailne	Kulud			3.1.2	Kaubad, toore, materjal ja teenused
4	5002	EUR	Müügi eesmärgil ostetud kaubad	Detailne	Kulud			3.1.3	Kaubad, toore, materjal ja teenused
4	5003	EUR	Müügi eesmärgil ostetud kinnisvara	Detailne	Kulud			3.1.4	Kaubad, toore, materjal ja teenused
4	5004	EUR	Müügi eesmärgil ostetud teenused	Detailne	Kulud			3.1.5	Kaubad, toore, materjal ja teenused
4	5005	EUR	Elektrienergia	Detailne	Kulud			3.1.6	Kaubad, toore, materjal ja teenused
4	5006	EUR	Soojusenergia	Detailne	Kulud			3.1.7	Kaubad, toore, materjal ja teenused
4	5007	EUR	Kütus	Detailne	Kulud			3.1.8	Kaubad, toore, materjal ja teenused
4	5008	EUR	Alltöövõtud	Detailne	Kulud			3.1.9	Kaubad, toore, materjal ja teenused
4	5009	EUR	Transpordikulud	Detailne	Kulud			3.1.10	Kaubad, toore, materjal ja teenused
4	5010	EUR	Logistikakulud	Detailne	Kulud			3.1.11	Kaubad, toore, materjal ja teenused
4	5011	EUR	Maarent	Detailne	Kulud			3.1.12	Kaubad, toore, materjal ja teenused
4	5012	EUR	Üür ja rent	Detailne	Kulud			3.1.13	Kaubad, toore, materjal ja teenused
4	5013	EUR	Muud põhitegevusega seotud teenused	Detailne	Kulud			3.1.14	Kaubad, toore, materjal ja teenused
4	5014	EUR	Muud põhitegevusega seotud materjalid	Detailne	Kulud			3.1.15	Kaubad, toore, materjal ja teenused
2	51	EUR	MITMESUGUSED TEGEVUSKULUD	Üld	Kulud			3.2	MITMESUGUSED TEGEVUSKULUD
4	5100	EUR	Maarent	Detailne	Kulud			3.2.1	Mitmesugused tegevuskulud
4	5101	EUR	Üür ja rent	Detailne	Kulud			3.2.2	Mitmesugused tegevuskulud
4	5102	EUR	Elektrienergia	Detailne	Kulud			3.2.3	Mitmesugused tegevuskulud
4	5103	EUR	Soojusenergia	Detailne	Kulud			3.2.4	Mitmesugused tegevuskulud
4	5104	EUR	Kütus	Detailne	Kulud			3.2.5	Mitmesugused tegevuskulud
4	5105	EUR	Mitmesugused bürookulud	Detailne	Kulud			3.2.6	Mitmesugused tegevuskulud
4	5106	EUR	IT Teenused, arvutitarvikud	Detailne	Kulud			3.2.7	Mitmesugused tegevuskulud
4	5107	EUR	Telefon, internet	Detailne	Kulud			3.2.8	Mitmesugused tegevuskulud
4	5108	EUR	Sidekulud	Detailne	Kulud			3.2.9	Mitmesugused tegevuskulud
4	5109	EUR	Pangakulud	Detailne	Kulud			3.2.10	Mitmesugused tegevuskulud
4	5110	EUR	Kantseleitarbed	Detailne	Kulud			3.2.11	Mitmesugused tegevuskulud
4	5111	EUR	Ajalehed, ajakirjad, kirjandus	Detailne	Kulud			3.2.12	Mitmesugused tegevuskulud
4	5112	EUR	Ruumide valvekulud	Detailne	Kulud			3.2.13	Mitmesugused tegevuskulud
4	5113	EUR	Ruumide hooldus, remondikulud	Detailne	Kulud			3.2.14	Mitmesugused tegevuskulud
4	5114	EUR	Uurimis- ja arengukulud	Detailne	Kulud			3.2.15	Mitmesugused tegevuskulud
4	5115	EUR	Lähetuse päevarahad (maksuvabad)	Detailne	Kulud			3.2.16	Mitmesugused tegevuskulud
4	5116	EUR	Lähetuse päevarahad (maksustatavad)	Detailne	Kulud			3.2.17	Mitmesugused tegevuskulud
4	5117	EUR	Lähetuse majutuskulud (maksuvabad)	Detailne	Kulud			3.2.18	Mitmesugused tegevuskulud
4	5118	EUR	Lähetuse majutuskulud (maksustatavad)	Detailne	Kulud			3.2.19	Mitmesugused tegevuskulud
4	5119	EUR	Muud lähetuskulud	Detailne	Kulud			3.2.20	Mitmesugused tegevuskulud
4	5120	EUR	Koolituskulud ja konsultatsioonid	Detailne	Kulud			3.2.21	Mitmesugused tegevuskulud
4	5121	EUR	Riigilõiv	Detailne	Kulud			3.2.22	Mitmesugused tegevuskulud
4	5122	EUR	Maamaks	Detailne	Kulud			3.2.23	Mitmesugused tegevuskulud
4	5123	EUR	Muud riiklikud ja kohalikud maksud	Detailne	Kulud			3.2.24	Mitmesugused tegevuskulud
4	5124	EUR	Kulud eraldiste moodustamiseks	Detailne	Kulud			3.2.25	Mitmesugused tegevuskulud
4	5125	EUR	Kulu ebatõenäoliselt laekuvatest nõuetest	Detailne	Kulud			3.2.26	Mitmesugused tegevuskulud
4	5126	EUR	Väheväärtuslik põhivara	Detailne	Kulud			3.2.27	Mitmesugused tegevuskulud
4	5127	EUR	Transpordikulu	Detailne	Kulud			3.2.28	Mitmesugused tegevuskulud
4	5128	EUR	Ostetud teenused	Detailne	Kulud			3.2.29	Mitmesugused tegevuskulud
4	5129	EUR	Masinate varuosad, remont, hooldus	Detailne	Kulud			3.2.30	Mitmesugused tegevuskulud
4	5130	EUR	Masinate, seadmete rent	Detailne	Kulud			3.2.31	Mitmesugused tegevuskulud
4	5131	EUR	Reklaamikulud	Detailne	Kulud			3.2.32	Mitmesugused tegevuskulud
4	5132	EUR	Asutamiskulud	Detailne	Kulud			3.2.33	Mitmesugused tegevuskulud
4	5133	EUR	Audiitori ja raamatupidamise teenus	Detailne	Kulud			3.2.34	Mitmesugused tegevuskulud
4	5134	EUR	Varakindlustus	Detailne	Kulud			3.2.35	Mitmesugused tegevuskulud
4	5135	EUR	Autode kasutusrent	Detailne	Kulud			3.2.36	Mitmesugused tegevuskulud
4	5136	EUR	Autode kindlustus	Detailne	Kulud			3.2.37	Mitmesugused tegevuskulud
4	5137	EUR	Autode kütus	Detailne	Kulud			3.2.38	Mitmesugused tegevuskulud
4	5138	EUR	Autode hooldus ja remont	Detailne	Kulud			3.2.39	Mitmesugused tegevuskulud
4	5139	EUR	Isikliku auto kompensatsioon	Detailne	Kulud			3.2.40	Mitmesugused tegevuskulud
4	5140	EUR	Muud autodega seotud kulud	Detailne	Kulud			3.2.41	Mitmesugused tegevuskulud
4	5141	EUR	Töötajatele tehtud erisoodustused	Detailne	Kulud			3.2.42	Mitmesugused tegevuskulud
4	5142	EUR	Kingitused, annetused ja vastuvõtukulud	Detailne	Kulud			3.2.43	Mitmesugused tegevuskulud
4	5143	EUR	Ettevõtlusega mitteseotud kulud	Detailne	Kulud			3.2.44	Mitmesugused tegevuskulud
4	5144	EUR	Vastuvõtukulud	Detailne	Kulud			3.2.45	Mitmesugused tegevuskulud
4	5145	EUR	Erisoodustuselt arvestatud käibemaks	Detailne	Kulud			3.2.46	Mitmesugused tegevuskulud
4	5146	EUR	Tulumaksukulu	Detailne	Kulud			3.2.47	Mitmesugused tegevuskulud
4	5147	EUR	Sotsiaalmaksukulu	Detailne	Kulud			3.2.48	Mitmesugused tegevuskulud
2	52	EUR	TÖÖJÕUKULUD	Üld	Kulud			3.3	TÖÖJÕUKULUD
4	5200	EUR	Tööjõukulud	Detailne	Kulud			3.3.1	Tööjõukulud
4	5201	EUR	Sotsiaalmaks töötasult	Detailne	Kulud			3.3.2	Tööjõukulud
4	5202	EUR	Töötuskindlustus töötasult	Detailne	Kulud			3.3.3	Tööjõukulud
4	5203	EUR	Pensionikulud	Detailne	Kulud			3.3.4	Tööjõukulud
4	5204	EUR	Puhkusereservikulu	Detailne	Kulud			3.3.5	Tööjõukulud
2	53	EUR	KULUM	Üld	Kulud			3.4	KULUM
4	5300	EUR	Põhivara kulum ja väärtuse langus	Detailne	Kulud			3.4.1	Kulum
4	5301	EUR	Kinnisvarainvesteeringute kulum	Detailne	Kulud			3.4.2	Kulum
2	54	EUR	MUUD ÄRIKULUD	Üld	Kulud			3.5	MUUD ÄRIKULUD
4	5400	EUR	Kahjum müügiootel põhivara müügist	Detailne	Kulud			3.5.1	Muud ärikulud
4	5401	EUR	Kahjum kinnisvarainvesteeringute müügist	Detailne	Kulud			3.5.2	Muud ärikulud
4	5402	EUR	Kahjum materiaalse põhivara müügist	Detailne	Kulud			3.5.3	Muud ärikulud
4	5403	EUR	Kahjum immateriaalse põhivara müügist	Detailne	Kulud			3.5.4	Muud ärikulud
4	5404	EUR	Kahjum bioloogilise vara õiglase väärtuse muutusest	Detailne	Kulud			3.5.5	Muud ärikulud
4	5405	EUR	Kahjum kinnisvarainvesteeringute õiglase väärtuse muutusest	Detailne	Kulud			3.5.6	Muud ärikulud
4	5406	EUR	Kahjum valuutakursi muutusest	Detailne	Kulud			3.5.7	Muud ärikulud
4	5407	EUR	Trahvid, viivised ja hüvitised	Detailne	Kulud			3.5.8	Muud ärikulud
4	5408	EUR	Maksuviivised maksuametile	Detailne	Kulud			3.5.9	Muud ärikulud
4	5409	EUR	Aruandeperioodil selgunud eelmiste aastate kulu	Detailne	Kulud			3.5.10	Muud ärikulud
4	5410	EUR	Liikmemaksud	Detailne	Kulud			3.5.11	Muud ärikulud
4	5411	EUR	Muud ärikulud	Detailne	Kulud			3.5.12	Muud ärikulud
2	55	EUR	FINANTSKULUD	Üld	Kulud			3.6	FINANTSKULUD
4	5500	EUR	Finantskulud tütarettevõtjate aktsiatelt ja osadelt	Detailne	Kulud			3.6.1	Finantskulud
4	5501	EUR	Finantskulud sidusettevõtjate aktsiatelt ja osadelt	Detailne	Kulud			3.6.2	Finantskulud
4	5502	EUR	Kahjum võlakirjade ümberhindlusest	Detailne	Kulud			3.6.3	Finantskulud
4	5503	EUR	kahjum fondiosakute ümberhindlusest	Detailne	Kulud			3.6.4	Finantskulud
4	5504	EUR	Kahjum aktsiatelt ja osadelt	Detailne	Kulud			3.6.5	Finantskulud
4	5505	EUR	Intressikulu võlakirjadelt	Detailne	Kulud			3.6.6	Finantskulud
4	5506	EUR	Intressikulu laenudelt	Detailne	Kulud			3.6.7	Finantskulud
4	5507	EUR	Intressikulu kapitalirendilt	Detailne	Kulud			3.6.8	Finantskulud
4	5508	EUR	Muud intressikulud	Detailne	Kulud			3.6.9	Finantskulud
4	5509	EUR	Kahjum valuutakursi muutustest	Detailne	Kulud			3.6.10	Finantskulud
4	5510	EUR	Muud finantskulud	Detailne	Kulud			3.6.11	Finantskulud
2	66	EUR	TULUMAKS	Üld	Kulud			3.7	TULUMAKS
4	6600	EUR	Ettevõtte tulumaks	Detailne	Kulud			3.7.1	Tulumaks
4	9997	EUR	Omatarve 20%	Detailne	Aktiva				
4	9998	EUR	Omatarve 9%	Detailne	Aktiva				
4	9999	EUR	Tasaarveldused	Detailne	Aktiva				
